Author,Repo Name,Description,Programming Language,Stars,Fork,Top Contributors,Stars Today
kamranahmedse,developer-roadmap,"Interactive roadmaps, guides and other educational content to help developers grow in their careers.",TypeScript,315258,40951,"kamranahmedse, dansholds, arikchakma, github-actions",337
exa-labs,exa-mcp-server,Claude can perform Web Search | Exa with MCP (Model Context Protocol),TypeScript,879,71,"theishangoswami, calclavia, Feel-ix-343, jeffzwang, punkpeye",103
gridstack,gridstack.js,Build interactive dashboards in minutes.,TypeScript,7820,1349,"adumesny, troolee, radiolips, dependabot, kdietrich",24
dataelement,bisheng,"BISHENG is an open LLM devops platform for next generation Enterprise AI applications. Powerful and comprehensive features include: GenAI workflow, RAG, Agent, Unified model management, Evaluation, SFT, Dataset Management, Enterprise-level System Management, Observability and more.",TypeScript,8175,1362,"zgqgit, yaojin3616, dolphin0618, imkratos, gulixin0922",55
angular,angular,Deliver web apps with confidence 🚀,TypeScript,97578,26138,"gkalpak, petebacondarwin, devversion, crisbeto, atscott",34
vernu,textbee,textbee.dev is an opensource and free sms-gatway for sending SMS messages through API or dashboard web interface.,TypeScript,1415,153,"vernu, markoilijoski, mms-gianni, eltociear, dependabot",29
browserbase,mcp-server-browserbase,Allow LLMs to control a browser with Browserbase and Stagehand,TypeScript,1197,120,"filip-michalsky, alexdphan, tkattkat, sameelarif, kamath",196
ItzCrazyKns,Perplexica,Perplexica is an AI-powered search engine. It is an Open source alternative to Perplexity AI,TypeScript,21454,2180,"ItzCrazyKns, WanQuanXie, OmarElKadri, sjiampojamarn, aiyogg",21
tldraw,tldraw,whiteboard SDK / infinite canvas SDK,TypeScript,39757,2491,"steveruizok, ds300, MitjaBezensek, mimecuvalo, SomeHats",34
menloresearch,jan,Jan is an open source alternative to ChatGPT that runs 100% offline on your computer,TypeScript,28607,1691,"louis-menlo, urmauur, 0xHieu01, jan-service-account, hiento09",25
Azure,azure-rest-api-specs,The source for REST API specifications for Microsoft Azure.,TypeSpec,2811,5292,"nschonni, msyyc, mikeharder, amarzavery, lmazuel",0
Azure,autorest,"OpenAPI (f.k.a Swagger) Specification code generator. Supports C#, PowerShell, Go, Java, Node.js, TypeScript, Python",TypeSpec,4721,740,"fearthecowboy, stankovski, amarzavery, timotheeguerin, jianghaolu",0
touying-typ,touying,Touying is a powerful package for creating presentation slides in Typst.,Typst,1266,32,"OrangeX4, enklht, dependabot, wznmickey, YDX-2147483647",4
cetz-package,cetz,CeTZ: ein Typst Zeichenpaket - A library for drawing stuff with Typst.,Typst,1187,50,"johannes-wolf, fenjalien, RubixDev, rikhuijzer, jamesrswift",2
vlang,v,"Simple, fast, safe, compiled language for developing maintainable software. Compiles itself in <1s with zero library dependencies. Supports automatic C => V translation. https://vlang.io",V,36275,2184,"spytheman, medvednikov, yuyi98, felipensp, joe-conigliaro",7
vlang,v-analyzer,"The @vlang language server, for all your editing needs like go-to-definition, code completion, type hints, and more.",V,154,21,"i582, ttytm, spytheman, Lycs-D, felipensp",0
frida,frida-core,Frida core library intended for static linking into bindings,Vala,655,220,"oleavr, hsorbo, s1341, mrmacete, WorksButNotTested",0
pyenv-win,pyenv-win,"pyenv for Windows. pyenv is a simple python version management tool. It lets you easily switch between multiple versions of Python. It's simple, unobtrusive, and follows the UNIX tradition of single-purpose tools that do one thing well.",VBScript,5879,503,"kirankotari, Darsstar, dedale, LanetheGreat, brandonaut",6
abbodi1406,vcredist,AIO Repack for latest Microsoft Visual C++ Redistributable Runtimes,VBScript,6430,359,"abbodi1406, nkh0472",8
LegendsUnchained,vpx-standalone-alp4k,Settings and configs for VPX Standalone on the AtGames ALP 4K Pinball,VBScript,40,102,"lilalien, TheOminousOsie, Bla1ze, n-i-x, BorisUndead",0
alexforencich,verilog-ethernet,Verilog Ethernet components for FPGA implementation,Verilog,2520,751,"alexforencich, lomotos10",4
The-OpenROAD-Project,OpenROAD,OpenROAD's unified application implementing an RTL-to-GDS Flow. Documentation at https://openroad.readthedocs.io/en/latest/,Verilog,1888,636,"maliberty, eder-matheus, jjcherry56, gadfort, osamahammad21",2
YosysHQ,picorv32,PicoRV32 - A Size-Optimized RISC-V CPU,Verilog,3435,815,"cliffordwolf, wallclimber21, olofk, thoughtpolice, ldoolitt",4
EttusResearch,uhd,The USRP™ Hardware Driver Repository,Verilog,1072,687,"guruofquality, mbr0wn, wordimont, michael-west, ncorgan",0
vortexgpgpu,vortex,,Verilog,1484,316,"tinebp, jaewon-lee-github, SantoshSrivatsan24, Udit8348, MalikBurton",3
The-OpenROAD-Project,OpenROAD-flow-scripts,OpenROAD's scripts implementing an RTL-to-GDS Flow. Documentation at https://openroad-flow-scripts.readthedocs.io/en/latest/,Verilog,408,334,"maliberty, vvbandeira, oharboe, eder-matheus, ravi-varadarajan",0
analogdevicesinc,hdl,HDL libraries and projects,Verilog,1628,1558,"rkutty, acostina, ronagyl, larsclausen, AndreiGrozav",2
corundum,corundum,Open source FPGA-based NIC and platform for in-network compute,Verilog,1859,445,"alexforencich, joft-mle, Basseuph, andreasbraun90, minseongg",0
lnis-uofu,OpenFPGA,An Open-source FPGA IP Generator,Verilog,900,170,"tangxifan, github-actions, ganeshgore, dependabot, BaudouinChauviere",0
olofk,serv,SERV - The SErial RISC-V CPU,Verilog,1563,215,"olofk, trabucayre, Abdulwadoodd, wallento, Martoni",1
OSVVM,OSVVM,"OSVVM Utility Library: AlertLogPkg, CoveragePkg, RandomPkg, ScoreboardGenericPkg, MemoryPkg, TbUtilPkg, TranscriptPkg, ...",VHDL,238,65,"JimLewis, klangthomas, riedel-ferringer, kraigher, diedricm",0
Digital-EDA,Digital-IDE,All in one vscode plugin for HDL development,VHDL,714,61,"LSTM-Kirigaya, Nitcloud, zznjupt, AIRmisuzu, light-ly",5
ghdl,ghdl,VHDL 2008/93/87 simulator,VHDL,2543,381,"tgingold, Paebbels, umarcor, gingold-adacore, eine",0
UVVM,UVVM,UVVM (Universal VHDL Verification Methodology) is a free and Open Source Methodology and Library for very efficient VHDL verification of FPGA and ASIC – resulting also in significant quality improvement. Community forum: https://forum.uvvm.org/ UVVM.org: https://uvvm.org/,VHDL,397,100,"Bitvis, mariuselv, UVVM, jorgenkrohn, HDLUtils",0
aws,aws-fpga,Official repository of the AWS EC2 FPGA Hardware and Software Development Kit,VHDL,1560,521,"kristopk, deeppat, AWSGH, kyyalama2, AWSwinefred",0
github,copilot.vim,Neovim plugin for GitHub Copilot,Vim Script,9773,418,"tpope, djensenius",7
jbranchaud,til,📝 Today I Learned,Vim Script,13749,759,"jbranchaud, thesoftwarephilosopher, tumdum, mcrapet, patrickdavey",4
vimwiki,vimwiki,Personal Wiki for Vim,Vim Script,9038,633,"EinfachToll, tinmarino, ranebrown, Nudin, habamax",3
voldikss,vim-floaterm,💻 Terminal manager for (neo)vim,Vim Script,2563,84,"voldikss, delphinus, vn-ki, benwoodward, kazhala",0
augmentcode,augment.vim,AI-augmented development in Vim and Neovim,Vim Script,359,14,"github-actions, mtpauly",10
amix,vimrc,The ultimate Vim configuration (vimrc),Vim Script,31191,7308,"amix, dependabot, andradei, daniilguit, sota1235",3
neovim,neovim,Vim-fork focused on extensibility and usability,Vim Script,88887,6045,"zeertzjq, justinmk, janlazo, bfredl, ZyX-I",41
airblade,vim-rooter,Changes Vim working directory to project root.,Vim Script,1253,73,"airblade, jameslai, teranex, intelfx, rdnetto",0
preservim,tagbar,"Vim plugin that displays tags in a window, ordered by scope",Vim Script,6179,486,"majutsushi, raven42, alerque, jpmv27, jrc2139",0
ludovicchabant,vim-gutentags,A Vim plugin that manages your tag files,Vim Script,2318,175,"ludovicchabant, Coacher, yous, markwu, blueyed",0
sainnhe,gruvbox-material,Gruvbox with Material Palette,Vim Script,2190,172,"sainnhe, antoineco, zxYin, xpac27, rsaihe",2
tpope,vim-endwise,endwise.vim: Wisely add,Vim Script,1140,103,"tpope, Synray, blueyed, danieljaouen, richsoni",0
mattn,vim-lsp-settings,Auto configurations for Language Server for vim-lsp,Vim Script,1341,240,"mattn, tsukkee, prabirshrestha, heavenshell, johejo",2
fatih,vim-go,Go development plugin for Vim,Vim Script,16115,1436,"bhcleek, fatih, arp242, mattn, delphinus",2
Exafunction,windsurf.vim,"Free, ultrafast Copilot alternative for Vim and Neovim",Vim Script,4817,182,"fortenforge, pqn, sullivan-sean, njiang747, saranshsaini",7
machakann,vim-highlightedyank,Make the yanked region apparent!,Vim Script,858,23,"machakann, thalesmello, lilydjwg, sunaku, drewdeponte",1
editorconfig,editorconfig-vim,EditorConfig plugin for Vim,Vim Script,3154,141,"xuhdev, treyhunner, cxw42, mmrwoods, k-takata",1
rafi,awesome-vim-colorschemes,"Collection of awesome color schemes for Neo/vim, merged for quick use.",Vim Script,2813,185,"rafi, kyoz, Badacadabra, dikiaap, cocopon",2
jlanzarotta,bufexplorer,BufExplorer Plugin for Vim,Vim Script,526,99,"drmikehenry, jlanzarotta, igor-prusov, jsvisa, mgedmin",0
liuchengxu,vim-which-key,🌷 Vim plugin that shows keybindings in popup,Vim Script,1953,64,"liuchengxu, rene-descartes2021, BrotifyPacha, aelkazdadi, brglng",0
VBA-tools,VBA-JSON,JSON conversion and parsing for VBA,Visual Basic,1933,601,"timhall, blindlf, theredstapler, PGS62",2
OfficeDev,Office-IT-Pro-Deployment-Scripts,A collection of useful PowerShell scripts to make deploying Office 2016 and Office 365 ProPlus easier for IT Pros and administrators. If you have any feature requests or ideas for future scripts please add the idea to the issues list in this repository,Visual Basic,899,842,"rsmith0906, AStigall, alex182, johnskydiver, alspeirs",0
VBA-tools,VBA-JSON,JSON conversion and parsing for VBA,Visual Basic,1933,601,"timhall, blindlf, theredstapler, PGS62",2
OfficeDev,Office-IT-Pro-Deployment-Scripts,A collection of useful PowerShell scripts to make deploying Office 2016 and Office 365 ProPlus easier for IT Pros and administrators. If you have any feature requests or ideas for future scripts please add the idea to the issues list in this repository,Visual Basic,899,842,"rsmith0906, AStigall, alex182, johnskydiver, alspeirs",0
tannerhelland,PhotoDemon,"A free portable photo editor focused on pro-grade features, high performance, and maximum usability.",Visual Basic 6.0,1640,212,"tannerhelland, audioglider, hosiken, wqweto, epmatsw",3
unovue,shadcn-vue,Vue port of shadcn-ui,Vue,6963,432,"zernonia, sadeghbarati, mukundshah, Saeid-Za, hrynevychroman",13
donaldzou,WGDashboard,Simple dashboard for WireGuard VPN written in Python & Vue.js,Vue,2008,303,"donaldzou, DaanSelen, pgalonza, NOXCIS, allcontributors",42
yudaocode,yudao-ui-admin-vue3,芋道管理后台，基于 Vue3 + Element Plus 实现，支持 RBAC 动态权限、数据权限、SaaS 多租户、Flowable 工作流、三方登录、支付、短信、商城、CRM、ERP、AI 大模型等功能。,Vue,2274,989,"YunaiV, cherishsince, owen118z, xingyuv, cooling-jason",9
ccbikai,Sink,"⚡ A Simple / Speedy / Secure Link Shortener with Analytics, 100% run on Cloudflare.",Vue,4228,2560,"ccbikai, MineraleYT, ZL-Asica, QuentinHsu, dr-data",7
palxiao,poster-design,"迅排设计 - 美观且功能强大的在线海报设计器，图片编辑器，仿稿定设计，适用于多种场景：海报生成、电商产品图、文章长图、视频/公众号封面等。A beautiful online image designer, suitable for various scenarios like generate posters, making design easier!",Vue,4174,644,"palxiao, JeremyYu-cn, heimanba, thinkerchan, iHTCboy",3
laravel,vue-starter-kit,,Vue,340,122,"taylorotwell, tnylea, laserhybiz, oketafred, fftfaisal",0
frappe,crm,"Fully featured, open source CRM",Vue,1278,401,"shariquerik, pratikb64, frappe-pr-bot, pu-raihan, revant",4
yangjian102621,geekai,"AI 助手全套开源解决方案，自带运营管理后台，开箱即用。集成了 ChatGPT, Azure, ChatGLM,讯飞星火，文心一言等多个平台的大语言模型。支持 MJ AI 绘画，Stable Diffusion AI 绘画，微博热搜等插件工具。采用 Go + Vue3 + element-plus 实现。",Vue,4202,1026,"yangjian102621, mrchenzifan, lqins, ZenithNovaTech, gotoworld",2
imsyy,DailyHot,DailyHot 今日热榜前端页面 | API：https://github.com/imsyy/DailyHotApi,Vue,651,558,"imsyy, MyFaith",4
frappe,frappe-ui,A set of components and utilities for rapid UI development,Vue,491,164,"netchampfaris, shariquerik, RitvikSardana, surajshetty3416, nextchamp-saqib",1
frappe,lms,"Easy to Use, 100% Open Source Learning Management System",Vue,1537,662,"pateljannat, anandology, NagariaHussain, frappe-pr-bot, frappe-bot",8
pipipi-pikachu,PPTist,"PowerPoint-ist（/'pauəpɔintist/）, An online presentation application that replicates most of the commonly used features of MS PowerPoint, allowing for the editing and presentation of PPT online. Support AIPPT.",Vue,6909,1359,"pipipi-pikachu, hy16657, lhyUnited, missile-xuan, chaoXxxxx",8
nuxt,ui,The Intuitive Vue UI Library powered by Reka UI & Tailwind CSS.,Vue,4743,707,"benjamincanac, renovate, atinux, romhml, smarroufin",4
primefaces,primevue,Next Generation Vue UI Component Library,Vue,12453,1440,"tugcekucukoglu, cagataycivici, mertsincan, bahadirsofuoglu, yigitfindikli",7
CorentinTh,it-tools,"Collection of handy online tools for developers, with great UX.",Vue,28811,3443,"CorentinTh, renovate, cgoIT, sharevb, marvin-j97",23
broadinstitute,warp,WDL Analysis Research Pipelines,WDL,211,102,"ekiernan, nikellepetrillo, jessicaway, gbggrant, wjdingman1",0
WebAssembly,wasi-threads,,WebAssembly,154,8,"abrown, yamt, AlexEne, loganek, eloparco",0
AssemblyScript,assemblyscript,A TypeScript-like language for WebAssembly.,WebAssembly,17285,670,"dcodeIO, MaxGraey, HerrCai0907, jtenner, CountBleck",3
WebAssembly,binaryen,Optimizer and compiler/toolchain library for WebAssembly,WebAssembly,7820,776,"kripken, tlively, sbc100, aheejin, jfbastien",4
xmos,lib_i2s,I2S/TDM digital audio interface library,XC,20,29,"ACascarino, ed-xmos, samchesney, xross, xluciano",0
php,doc-en,English PHP documentation,XML,552,787,"cmb69, vrana, philip, bjori, salathe",0
zotero-chinese,styles,中文 CSL 样式 - Zotero 中文社区,XML,5549,867,"redleafnew, zepinglee, github-actions, northword, Helloxiaolaodi",3
uri-templates,uritemplate-test,Tests for URI Template implementations,XSLT,88,21,"mnot, damnhandy, hannesg, dret, baywet",0
usnistgov,oscal-content,NIST SP 800-53 content and other OSCAL content examples,XSLT,341,137,"wendellpiez, david-waltermire, oscalbuilder, aj-stein-nist, iMichaela",0
LOLBAS-Project,LOLBAS,Living Off The Land Binaries And Scripts - (LOLBins and LOLScripts),XSLT,7474,1031,"api0cradle, wietze, xenoscr, bohops, Ekitji",5
11ty,eleventy-base-blog,A starter repository for a blog web site using the Eleventy static site generator.,XSLT,1349,667,"zachleat, traviscibot, mathiasbynens, verlok, clottman",1
tree-sitter,tree-sitter-agda,Agda grammar for tree-sitter,Yacc,34,16,"banacorn, amaanq, rwe, maxbrunsfeld, typesanitizer",0
hackclub,dns,🕹 Manage Hack Club's DNS through a GitHub repository,YAML,165,431,"maxwofford, zachlatta, sampoder, prophetorpheus, lachlanjc",0
usnistgov,macos_security,macOS Security Compliance Project,YAML,1977,238,"robertgendler, golbiga, brodjieski, headmin, boberito",1
aquaproj,aqua-registry,aqua's Standard Registry,YAML,164,159,"aquaproj-aqua-registry, renovate, suzuki-shunsuke, renovate-bot, ponkio-o",0
mustache,spec,The Mustache spec.,YAML,390,74,"pvande, jgonggrijp, Danappelxx, gasche, softmoth",0
kubeflow,manifests,Kubeflow Deployment Manifests,YAML,907,946,"juliusvonkohout, jlewi, kimwnasptd, Bobgy, kubeflow-bot",1
ansible-lockdown,RHEL8-CIS,Automated CIS Benchmark Compliance Remediation for RHEL 8 with Ansible,YAML,298,177,"uk-bolly, georgenalen, pre-commit-ci, bbaassssiiee, carnells",0
Neo23x0,signature-base,YARA signature and IOC database for my scanners and tools,YARA,2600,623,"Neo23x0, ruppde, phantinuss, JohnLaTwC, 0xx0d4y",0
mthcht,awesome-lists,Awesome Security lists for SOC/CERT/CTI,YARA,937,112,"actions-user, mthcht, wikijm, catscrdl",1
Yara-Rules,rules,Repository of yara rules,YARA,4371,1013,"mmorenog, seifreed, Xumeiquer, jovimon, yararules",2
lightpanda-io,browser,Lightpanda: the headless browser designed for AI and automation,Zig,8584,200,"krichprollsch, francisbouvier, karlseguin, sjorsdonkers, katie-lpd",90
tigerbeetle,tigerbeetle,The financial transactions database designed for mission critical safety and performance.,Zig,12237,593,"sentientwaffle, matklad, jorangreef, batiati, cb22",6
ziglang,zig,"General-purpose programming language and toolchain for maintaining robust, optimal, and reusable software.",Zig,38701,2804,"andrewrk, kubkon, Vexu, jacobly0, alexrp",42
capy-ui,capy,"💻Build one codebase and get native UI on Windows, Linux and Web",Zig,2077,78,"zenith391, geon, dvmason, wukgdu, AdjectiveAllison",0
karlseguin,http.zig,An HTTP/1.1 server for zig,Zig,942,60,"karlseguin, zigster64, bobf, ItsMeSamey, rofrol",4
kristoff-it,superhtml,HTML Language Server & Templating Language Library,Zig,926,38,"kristoff-it, Arnau478, squeek502, Techatrix, RoloEdits",2
oven-sh,bun,"Incredibly fast JavaScript runtime, bundler, test runner, and package manager – all in one",Zig,77626,3037,"Jarred-Sumner, dylan-conway, paperclover, nektro, Electroid",26
zml,zml,Any model. Any hardware. Zero compromise. Built with @ziglang / @openxla / MLIR / @bazelbuild,Zig,2226,80,"gwenzek, steeve, Corendos, hugomano, renerocksai",5
